author,username,retweet_count,tweets,created_at,type
vantepb,glassvcut,0,@vantepb @BTS_twt KABXKSNKXNSKXNAKDNSJBXJSNSJS EU VIU EXPLODIR,2021-12-06 03:59:11,replied_to
ETERNALSCLSD,tessaclsd,0,@ETERNALSCLSD Gan bts,2021-12-06 03:59:11,replied_to
ARMYTEAMIID,vminstaerry,1189,"RT @ARMYTEAMIID: +

Selamat datang di korea 💜
- jimin

#방탄소년단 #BTS @BTS_twt https://t.co/nTxcpUJCL9",2021-12-06 03:59:08,retweeted
BTS_TWT_JIMIIN,PutriMa70680738,1,@BTS_TWT_JIMIIN @btsbighiit_ @BTS_twt Wahhh oppa👏👏👏👏☺ https://t.co/O7Up4B2Q1z,2021-12-06 03:59:07,replied_to
blacknwhite_km,view728,7214,"RT @blacknwhite_km: 211128 PTD in LA day2 HD

jikook🔥

#정국 #지민 #JUNGKOOK #JIMIN #JIKOOK #방탄소년단  #BTS  @BTS_twt https://t.co/eqQZCTvyVe",2021-12-06 03:59:06,retweeted
seokjinyeogiya,NiaAvivah,96,"RT @seokjinyeogiya: #SeokjinArticle
211206 Seokjin ICN

Like (1st emoji) &amp; recommend
1 https://t.co/FdmWptCUxB
2 https://t.co/b2dPti6isr
3…",2021-12-06 03:59:00,retweeted
itsjjknunaa,Lollypotakies,95,"RT @itsjjknunaa: oke jd bts bkln istirahat untuk bbrp waktu, mereka bakalan fokus untuk konser juga fokus untuk me-rilis album baru yg akan…",2021-12-06 03:59:00,retweeted
BTSxBRAZIL,ggukfaither,0,"@BTSxBRAZIL @anpanbtsbrasil_ @StoreKLine @BTS_twt Jung Hoseok 
@BTS_twt",2021-12-06 03:59:00,replied_to
linetoday,Kahoko271,75,RT @linetoday: Selamat ulang tahun Jin BTS 🥳🥳🥳  Reply tweet ini dengan wish kamu buat doi yuk! #FollowLINETODAY!https://t.co/t4xppfqOY7,2021-12-06 03:58:54,retweeted
BTSxBRAZIL,ggukfaither,0,"@BTSxBRAZIL @anpanbtsbrasil_ @StoreKLine @BTS_twt Min Yoongi 
@BTS_twt",2021-12-06 03:58:53,replied_to
BTS_twt,sereinairy,0,@BTS_twt @420JOON maaf ya nilaiku jelek terus,2021-12-06 03:58:51,replied_to
taegdboyy,ulfaoktviaa_,259,"RT @taegdboyy: Jimin, Jungkook, Jin udah sampai di Korea

Welcome back💜 @BTS_twt
https://t.co/cbPlUdVLvw",2021-12-06 03:58:49,retweeted
