author,username,retweet_count,tweets,created_at,type
harmoni3roda,aoparlak,1,"RT @harmoni3roda: #PrayforSemeru

Indocement mengucapkan turut berduka cita atas bencana alam erupsi Gunung Semeru.

Semoga erupsi yang ter…",2021-12-06 03:59:58,retweeted
AREAJULID,JBunnyVk,3059,"RT @AREAJULID: [Urgent!!] bantuan darurat untuk warga terdampak erupsi gunung Semeru, ayo army indonesia bisa berdonasi melalui: https://t.…",2021-12-06 03:59:58,retweeted
HumasTabesSmg,Polsek_Pdr442,4,"RT @HumasTabesSmg: Polri Bagikan Masker Hingga Berikan Pertolongan Untuk Korban Erupsi Semeru 

#PolriTanggapKemanusiaan
Aksi Peduli Lumaja…",2021-12-06 03:59:58,retweeted
PRB_BNPB,bpbd_malangkota,67,RT @PRB_BNPB: Erupsi Gunung Semeru saat ini https://t.co/tdR9LCSdPF,2021-12-06 03:59:57,retweeted
mikuroQ,GustiMberkahi,53,"RT @mikuroQ: Pilu di kaki Gunung Semeru
Tdk tega meninggalkan ibunya yg tdk bisa jln, Rumini rela menemani ibunya Salamah hingga detik tera…",2021-12-06 03:59:56,retweeted
,PolsekGianyar1,0,"Potret personel Polri yang tergabung dalam Tim Dokkes sedang melakukan pertolongan pertama kepada warga yang menjadi korban erupsi Gunung Semeru di Kabupaten Lumajang, Provinsi Jawa Timur.

#PolriTanggapKemanusiaan
Aksi Peduli Lumajang https://t.co/4mH4ziEqfF",2021-12-06 03:59:55,
NagregPolsek,UnitNagreg,8,"RT @NagregPolsek: Polri Dirikan Posko Kesehatan Dan Dapur Umum Untuk Korban Erupsi Gunung Semeru

#PolriTanggapKemanusiaan
Aksi Peduli Luma…",2021-12-06 03:59:54,retweeted
,CisaruaPolsek,0,"Polri Bagikan Masker Hingga Berikan Pertolongan Untuk Korban Erupsi Semeru

#PolriTanggapKemanusiaan
Aksi Peduli Lumajang https://t.co/752twmLqtA",2021-12-06 03:59:53,
erickthohir,hhasnaaf,235,"RT @erickthohir: Turut berduka yang dalam untuk korban meninggal erupsi Gunung Semeru, dan semoga yang terluka bisa segera sembuh. Doa terb…",2021-12-06 03:59:52,retweeted
ganjarpranowo,agustaufiqurro1,0,"@ganjarpranowo aamin ya robbal alamin, semoga Alloh menyelamatkan saudara2 kita di sekitar gunung Semeru. dan yang meninggal semoga mendapat tempat yang indah disisi Alloh SWT.",2021-12-06 03:59:52,replied_to
,polsek_antapani,0,"Baharkam Polri Kirim Pasukan Bantu Korban Erupsi Gunung Semeru

#PolriTanggapKemanusiaan
Aksi Peduli Lumajang https://t.co/YiPwQiq7z0",2021-12-06 03:59:51,
PVMBG_,bpbd_malangkota,64,"RT @PVMBG_: Terjadi erupsi G. Semeru pada hari Senin, 06 Desember 2021, pukul 08:55 WIB. Visual letusan tidak teramati. Erupsi ini terekam…",2021-12-06 03:59:50,retweeted
,PolsekTirtajaya,0,"Polri Dirikan Posko Kesehatan Dan Dapur Umum Untuk Korban Erupsi Gunung Semeru

Kepolisian Negara Republik Indonesia (POLRI), menerjunkan Tim Kedokteran dan Kesehatan (Dokkes) Polri untuk memberikan 
#PolriTanggapKemanusiaan
Aksi Peduli Lumajang
https://t.co/oWjBorOMci https://t.co/FjwqthVKRM",2021-12-06 03:59:50,
