author,username,retweet_count,tweets,created_at,type
SuperGalaxy99,Bias_suara,7,"RT @SuperGalaxy99: https://t.co/KGgrhHJdvI

Menteri BUMN Erick Thohir tertarik dgn jersey PERSIB edisi suporter. Hal itu terlontar saat ia…",2021-12-06 02:42:12,retweeted
bdmntnfans,Sksksks20517660,32,"RT @bdmntnfans: Ahhhh ngerti gua sekarang kenapa cines bilang nunggu foto kevin x mima pas juara, yaa karna emang rencana fotonya di podium…",2021-12-06 02:42:09,retweeted
ditakarangsn,pahkjimin,0,@ditakarangsn apa kamu juara 1 joget pargoy se korea selatan?,2021-12-06 02:41:38,replied_to
,Beritasatu,0,"Federasi Tenis Rusia unggul 2-0 atas Kroasia pada final Piala Davis.

Selengkapnya: 👇🏻 #PialaDavis https://t.co/MBod2ZlF9T",2021-12-06 02:40:44,
,ANTARABengkulu,0,Rusia raih gelar juara Piala Davis untuk ketiga kalinya - ANTARA News Bengkulu https://t.co/OPNiWLBY44,2021-12-06 02:40:21,
jisuchoivr,nuriska_chika,14,"RT @jisuchoivr: gausah bandingin sama an seyoung,gausah bandingin sama bass popor,BUKA MATA LO MEREKA INI MINIONS KLO LO GAINGET MEREKA PER…",2021-12-06 02:40:18,retweeted
detiksport,nunwawhaa_,0,"@detiksport Sudah juara, banting tulang, cedera yg mengharuskan WO diturnamen berikutnya yg bahkan ada Prize Money. Demi kejuaraan yg bawa Nama Indonesia, Kejuaraan Dunia beregu Putra, tanpa Prize Money, tp ketika Juara tidak dihargai? Bercanda sekali anda.",2021-12-06 02:39:51,replied_to
O81311,ekypurnomo272,0,"@O81311 Jujur pesimis max bisa juara, tapi entahlah :)",2021-12-06 02:38:45,replied_to
stefanyvonne,senorjoey,0,"@stefanyvonne Lagian ini gelarnya udh dapet kok.. Berpartisipasi aja, untuk event yang ada kualifikasinya begini, udh perlu diapresiasi.. Ini juara lho, edan bener congornya bilang aiueo",2021-12-06 02:38:42,replied_to
,penerbitindiva,1,"Awaken Your Giant: Seni Membangkitkan Potensi Raksasa yang Tertidur dalam Dirimu

Juara 2 KMI 2020 kategori nonfiksi
Penulis : Deni Bekti
ISBN : 978-623-253-066-9

Harga PO: Rp75.000,00
berlaku sampai 31 Desember 2021

pemesanan https://t.co/QZ8ydy8MN0 https://t.co/Rh12XT2cs8",2021-12-06 02:38:18,
