author,username,retweet_count,tweets,created_at,type
NyiPenengah,yulakusuma,0,@NyiPenengah Harapannya perdagangan internasional Indonesia dan negara lain selalu berjalan lancar ya mbak.,2021-12-06 02:58:28,replied_to
Iovedkoo,divaturnip03,0,@Iovedkoo Indonesia  💜 https://t.co/0iNg9sQFWt,2021-12-06 02:58:27,replied_to
,MilaSuebu,0,"investasi di indonesia aman 

Disiplin Protokol Kesehatan https://t.co/ynWxWTbzd9",2021-12-06 02:58:27,
MiniGoldID,DaniCicadasBdg,22,"RT @MiniGoldID: Kami segenap keluarga besar MiniGold Indonesia turut berduka atas bencana erupsi Gunung Semeru, Lumajang, Jawa Timur #PrayF…",2021-12-06 02:58:24,retweeted
MMC_IDN2,IndrianiLeli,24,"RT @MMC_IDN2: Mulai dari Aceh sampai Utah, dari Indonesia sampai Amerika, dimana-mana ada anak durhaka! Astaghfirullah, bukan hanya mengusi…",2021-12-06 02:58:22,retweeted
,brimobsumutnews,0,"#Repost @divisihumaspolri
...
Kepolisian Negara Republik Indonesia
Turut Berbelasungkawa
atas musibah erupsi Gunung Semeru
4 Desember 2021

#prayforlumajang https://t.co/vizS6udC8L",2021-12-06 02:58:18,
AyaniMel,DjafarTamtama,0,@AyaniMel Demi keutuhan pancasila...kita jaga ketuhanan yg maha esa..kemanusiaan yg adil dan beradab..persatuan indonesia...kerakyatan yg dipimpin dst...keadilan sosial seluruh rakyat indonoesia...,2021-12-06 02:58:17,replied_to
,voaislam,0,"Politisi PKS: Sebut Tak Impor Beras pada 2021, Presiden Jokowi Kembali Lakukan Kebohongan Publik - https://t.co/EzvWuj59Se https://t.co/5mv3WcRFpv",2021-12-06 03:59:58,
jeeland27,lsgfanacc,6,"RT @jeeland27: Compliment in Indonesia :

""Seunggi gantengnya ga ngotak anjir"" https://t.co/QsjOMY7SVF",2021-12-06 03:59:56,retweeted
TheMoonHerald,Momiledear2104,789,"RT @TheMoonHerald: ⭐️ Thailand 🇹🇭 Vietnam 🇻🇳 Malaysia Indonesia 🇮🇩 No.1

⭐️ Korea No.2

⭐️ Philippines 🇵🇭 No.3

#MEWxSAMKIM
@MSuppasit @Lee…",2021-12-06 03:59:55,retweeted
Mulalt_,AnakHonai,71,"RT @Mulalt_: Tidak seheboh Kasus Pemerkosaan di Indonesia?

Mingkin Ini yang dimaksud Pendekatan Baru yang akan dilakuakan Oleh pa Andika P…",2021-12-06 03:59:54,retweeted
Adi_Interisti89,Aprilia_wiji,7,RT @Adi_Interisti89: Menteri BUMN @erickthohir mengungkapkan penyandang disabilitas merupakan bagian dari Indonesia yang harus mendapatkan…,2021-12-06 03:59:54,retweeted
KotekaPastor,duatujuhapril,182,"RT @KotekaPastor: Cara berperang militer Indonesia  Sembrono dan brutal... Rumah penduduk sipil, sekolah, rumput, tikus, cacing pun ditemba…",2021-12-06 03:59:52,retweeted
,PolsekTirtajaya,0,"Polri Dirikan Posko Kesehatan Dan Dapur Umum Untuk Korban Erupsi Gunung Semeru

Kepolisian Negara Republik Indonesia (POLRI), menerjunkan Tim Kedokteran dan Kesehatan (Dokkes) Polri untuk memberikan 
#PolriTanggapKemanusiaan
Aksi Peduli Lumajang
https://t.co/oWjBorOMci https://t.co/FjwqthVKRM",2021-12-06 03:59:50,
schfess,evellwii,45,RT @schfess: soal bahasa indonesia yang tau jawabannya cuma tuhan dan guru b indonya sendiri 🙏 sch! https://t.co/Lmt0iauM0V,2021-12-06 03:59:45,retweeted
,PolsekTirtajaya,0,"Polri Evakuasi Lansia Korban Erupsi Gunung Semeru 

Kepolisian Negara Republik Indonesia (Polri) terus melakukan proses evakuasi terhadap masyarakat terdampak erupsi Gunung Semeru
#PolriTanggapKemanusiaan
Aksi Peduli Lumajang
https://t.co/gleBOwGqQR https://t.co/4ST7kSGybm",2021-12-06 03:59:41,
Kbnyogya,Aditya76345196,0,"@Kbnyogya @Kemhan_RI @prabowo Betul banget, Kapal Cepat Rudal ini harapannya menjadi Kemampuan maritim yang tangguh untuk mengamankan kedaulatan dan kekayaan Indonesia.

@Kemhan_RI @prabowo 
PrabowoLuncurkan KapalRudal
JagaPertahanan MaritimKita
IndonesiaTangguh KuatDisegani",2021-12-06 03:59:40,replied_to
Ebn_jateng,Chandrahilman2,0,"@Ebn_jateng @prabowo @Kemhan_RI Benar banget, Kapal Cepat Rudal ini diharapkan menjadi Kemampuan laut yang mumpuni untuk menjaga kedaulatan dan kekayaan Indonesia. @Kemhan_RI @prabowo

PrabowoLuncurkan KapalRudal
JagaPertahanan MaritimKita
IndonesiaTangguh KuatDisegani",2021-12-06 03:59:40,replied_to
,BanjarnegaraT,0,"Just posted a photo @ Banjarnegara, Jawa Tengah, Indonesia https://t.co/RWJ1wieRzf",2021-12-06 03:59:37,
,PBrebes1,0,"Polri Bagikan Masker Hingga Berikan Pertolongan Untuk Korban Erupsi Semeru 

Kepolisian Negara Republik Indonesia (POLRI) terus hadir untuk masyarakat, dengan sigap Korps Bhayangkara terjun mengevakuasi masyarakat terdampak erupsi Gunung Semeru yang berada di Lumajang, Jawa Timur https://t.co/eu2smHZMKV",2021-12-06 03:59:24,
,BarudinJamal,0,"Emang bener, Kapal Cepat Rudal ini harapannya menjadi kekuatan laut yang tangguh untuk mengamankan kedaulatan dan kekayaan Indonesia.

@Kemhan_RI @prabowo
PrabowoLuncurkan KapalRudal
JagaPertahanan MaritimKita
IndonesiaTangguh KuatDisegani https://t.co/Ehh8QR72rV",2021-12-06 03:59:24,
macannegara,wi_ndra,0,"@macannegara @Hayuningrat7 @elkrova Itu jelas molekul salju
Sejak kapan air bermolekul kristal?
Air dan es mempunyai molekul yg beda.

https://t.co/R2BCQ3CDoq",2021-12-06 03:59:23,replied_to
,HumasKebLama,0,"Kepolisian Negara Republik Indonesia (Polri) terus melakukan proses evakuasi terhadap masyarakat terdampak erupsi Gunung Semeru yang berada di Kabupaten Lumajang, Jawa Timur. Personel Polri berhasil mengevakuasi beberapa orang lansia, serta turut mengevakuasi korban meninggal https://t.co/jSnCg2JmuM",2021-12-06 03:59:19,
SherinaHan,applestyles16,72,"RT @SherinaHan: Super Tuna sekarang udah #2 Trend Youtube Indonesia lho. Yuk Kencengin Streamingnyaa biar segera jadi #1 jugaaa. 
Happy ber…",2021-12-06 03:59:16,retweeted
,satria_ajalah,0,FAMTRIP LOCAL GUIDE ACEH TENGAH. HIMPUNAN PRAMU WISATA INDONESIA (HPI) TO SABANG https://t.co/h19grqr85T,2021-12-06 03:59:15,
BNONews,Laura_MuZa,7754,RT @BNONews: BREAKING: Large eruption at Indonesia's Mount Semeru https://t.co/UO78ZekatP,2021-12-06 03:59:15,retweeted
Ayang_Utriza,azarassey,58,"RT @Ayang_Utriza: Jaringan Gusdurians di seluruh Indonesia @GUSDURians bersama Mbak @AlissaWahid Mbak @AnitaWahid, Mbak @yennywahid, Mbak @…",2021-12-06 03:59:13,retweeted
alumni_banten,Chandrahilman2,0,"@alumni_banten @Kemhan_RI @prabowo Benar banget, Kapal Cepat Rudal ini diharapkan menjadi armada maritim yang tangguh untuk menjaga kedaulatan dan kekayaan Indonesia. @Kemhan_RI @prabowo

PrabowoLuncurkan KapalRudal
JagaPertahanan MaritimKita
IndonesiaTangguh KuatDisegani",2021-12-06 03:59:12,replied_to
PBDjarum,Hai_FullSun,5,"RT @PBDjarum: Pebulutangkis putri Korea Selatan, An Se Young tampil cemerlang di tiga turnamen yang tersaji di Indonesia Badminton Festival…",2021-12-06 03:59:09,retweeted
,Selly47075632,0,"Agen judi online dominoqq,poker,DLL situs terpercaya menang berapa pun dibayar LUNAS
segera hubungi kami di
WA: +85581803247
LINE: PANDORAQQ
LINK : https://t.co/McEwJh3odn
#poker #Domino #sukajudi #gilajudi #hobijudi #masterjudi #dewajudi #JudiOnline #pandoraqq #viral #indonesia https://t.co/kwpBQezbnu",2021-12-06 03:59:07,
vocketfcID,peruggiaid,18,"RT @vocketfcID: Thailand Dan Myanmar Pakai Ban Kapten Pelangi Di Piala AFF 2020, Bagaimana Dengan Indonesia?

#AFFSuzukiCup2020
https://t.c…",2021-12-06 03:59:05,retweeted
Koleksisegar18,Yaul21768556,29,"RT @Koleksisegar18: Skidipappap ssma koko💦💦

FULLNYA? YUK JOIN GRUP
⬇️⬇️
https://t.co/1k9jejxW2Y
ADMIN NYA 
@hallogaydadmin

KEUNTUNGAN JOI…",2021-12-06 03:59:04,retweeted
,Sintamahalona,89,"Mengapa ketika Bpk. Ahok &amp; Ibu Sri Mulyani bekerja, bnyk pihak yg merasa 'gerah'??   Krn mrk tau siapa saja yg merugikan negara tercinta ini. 

Semangat dan teruslah berjuang utk kemakmuran &amp; kesejahteraan Indonesia. 💪💪💪

#GerakanMERAHPUTIH
Satu tekad jaga NKRI
❤️🇮🇩 https://t.co/7sIZrvwaKL",2021-12-06 03:59:03,
,almnkalbar,0,"Industri Pertahanan Penting untuk Melindungi Indonesia dari Berbagai Ancaman

@kemhan_ri @prabowo
PrabowoLuncurkan KapalRudal
JagaPertahanan MaritimKita
IndonesiaTangguh KuatDisegani https://t.co/NSY1UsaxPe",2021-12-06 03:59:00,
faith_khalaf,ZPembayun,3,"RT @faith_khalaf: Bissmillah 
Assalamualaikum 
Ready Madu Odeng/Hutan Jabar 
Madu Murni Majalengka 
Info dan pemesanan wa. 083824688292
Sia…",2021-12-06 03:58:58,retweeted
Monkey61share,AnakHonai,27,RT @Monkey61share: Front Rakyat Indonesia Untuk Mendukung Papua Merdeka 🔥🙏 https://t.co/w6yWTVvVEd,2021-12-06 03:58:57,retweeted
,iksasulawesi,0,"Pak Prabowo mengatakan kapal ini jadi bagian dari visi Indonesia membangun kekuatan maritim 

@kemhan_ri @prabowo
PrabowoLuncurkan KapalRudal
JagaPertahanan MaritimKita
IndonesiaTangguh KuatDisegani https://t.co/B4jAll7diz",2021-12-06 03:58:50,
teumejember,whrtto,585,RT @teumejember: Hi Indonesia Teumes! Kami dan @txtfromteume mengajak kalian untuk membantu saudara-saudara terdampak erupsi Gunung Semeru.…,2021-12-06 03:58:50,retweeted
