author,username,retweet_count,tweets,created_at,type
aemirabile,jijellydengdeng,0,"@aemirabile Tadi cuman uas si tapi keknya nanti sore bakal ada latihan badminton juga , kalo kamu ada kegiatan apa hari ini?",2021-12-06 02:10:39,replied_to
,riego_jaemcityx,0,"Udah bisa fokus ngehunter, karna turnamen badminton dimulai minggu depan",2021-12-06 02:07:43,
kevgidminions,kvjoog_,15,"RT @kevgidminions: Marcus Fernaldi Gideon /
Kevin Sanjaya Sukamuljo
in #BWFWorldTourFinals2021 (50)

© PBSI, Badminton Photo, Herry IP http…",2021-12-06 02:03:34,retweeted
,lisakwardh,0,Makin banyak liat thread di twitter/video di tiktok makin takut sama kehidupan kedepannya. Udah paling bener emang mending liatin tama/atlet badminton aja lah,2021-12-06 02:02:55,
PBDjarum,Hai_FullSun,5,"RT @PBDjarum: Pebulutangkis putri Korea Selatan, An Se Young tampil cemerlang di tiga turnamen yang tersaji di Indonesia Badminton Festival…",2021-12-06 03:59:09,retweeted
,nangkagembok,0,Ada gk ya atlet badminton yang lahir tanggal 19 Desember? Kira2 bisa nyaingin rekornya Kohen gk?😂,2021-12-06 03:58:29,
olaffyousomuch,Canabeastt,0,@olaffyousomuch Kubawa pas badminton doang si,2021-12-06 03:58:22,replied_to
kevingideonfc,raisana___,82,"RT @kevingideonfc: Fantastic badminton 👀

Sehat-sehat terus kalian berdua. +akankah mereka jadi musuh bebuyutan edisi selanjutnya?

https:/…",2021-12-06 03:55:33,retweeted
Beto_Kusyairy,Razaisyam,0,@Beto_Kusyairy @que_haidar Seronok jumpa regu badminton bang,2021-12-06 03:52:38,replied_to
,rgrmanurip,0,"Nda pagi, nda siang, nda sore, nda malam Badminton terooosss.... @ Sukorejo Loceret Nganjuk https://t.co/JS6UMAEYi4",2021-12-06 03:51:49,
,intanqueen__,0,"tu atlet2 badminton klo sampe pensiun dini dan alih job jd atlet tong setan mah menpora juga yg geter. jgn ngadi ngadi deh, apresiasi kek apa kek",2021-12-06 03:46:28,
bocahfangirl,imhappygurlguys,61,"RT @bocahfangirl: 🍃 THREAD SERBA SERBI 🍃
“Indonesia Badminton Festival”

(Mari liburan online)
👇🏻👇🏻👇🏻👇🏻👇🏻👇🏻",2021-12-06 03:43:13,retweeted
